Id,Bone_Health_Calcium,VitA_Percentage,Saturated_Lipids,Energy_Content,Cholesterol_Level,Drink_Name,Iron_Concentration,VitC_Content,Sweetness_Index,Drink_Type,Salt_Level,Health_Category,Flavor_Variant,Fibre_Amount,Processed_Oil_Content,Carb_Count,Protein_Quantity,Stimulant_Caffeine,Heart_Risk_Index,Health_Rating,Fat_Content
1136,45%,48%,0.03513,21.966,2.0,Brand 14,0.11%,9%,146.0, Nimbu Pani & Shikanji ,10,Low_Fat,Extra Large Kulhad,0.101,0.5016,108,28.8,149,4.5703, Medium ,0.0
1137,69%,45%,0.08726,25.879,16.0,Brand 11,0.11%,15%,88.0, South Indian Filter Coffee ,44,Vitamin_Rich,Malai Milk,0.441,2.746,240,94.0,185,23.1477, Medium ,0.0
1138,91%,50%,0.10293,24.6186,21.0,Brand 27,0.11%,10%,122.0, Special Spiced Chai ,18,Low_Fat,Saffron-Infused Milk,0.101,0.8549,870,71.1,31,22.3901, Medium ,0.0
1139,11%,2%,0.01714,3.6726,23.0,Brand 21,0.11%,12%,65.0, South Indian Filter Coffee ,10,Low_Fat,Extra Large Kulhad,0.101,0.2328,175,3.0,255,3.3381, Low ,0.2201
1140,87%,31%,0.0115,24.8724,43.0,Brand 4,28.94%,79%,82.0, Masala Chai ,10,Vitamin_Rich,Badam Milk,0.101,0.9647,370,88.0,23,14.7022, High ,10.4417
1141,10%,0%,0.02039,28.661,16.0,Brand 21,1.49%,12%,8.0, Masala Chai ,10,Low_Fat,Kesar Doodh,4.767,0.0,79,3.0,295,8.7007, Low ,0.0
1142,78%,1%,0.01797,5.0724,23.0,Brand 21,0.11%,10%,2.0, South Indian Filter Coffee ,10,Low_Fat,Extra Large Kulhad,0.101,0.3602,334,27.0,600,7.9663, Medium ,0.9023
1143,52%,24%,0.03421,30.0834,11.0,Brand 27,45.21%,7%,189.0, Mango Shake ,11,Vitamin_Rich,Badam Milk,2.227,0.7357,75,50.3,46,13.6143, High ,17.0264
1144,80%,39%,0.0174,33.8882,46.0,Brand 32,0.11%,8%,83.0, Masala Chai ,10,Low_Fat,Elaichi Doodh,0.101,2.2251,400,53.6,30,27.3093, Medium ,2.6248
1145,41%,43%,0.12868,34.2705,89.0,Brand 3,41.29%,81%,71.0, Light Buttermilk (Chaas) ,48,Low_Fat,Malai Milk,250.969,2.9573,776,143.0,33,36.4677, High ,59.3536
1146,41%,5%,0.01266,23.5862,21.0,Brand 19,0.76%,10%,2.0, South Indian Filter Coffee ,11,Low_Fat,Saffron-Infused Milk,1.832,0.6364,64,3.2,157,10.1547, Medium ,1.2769
1147,59%,41%,0.09079,36.1811,41.0,Brand 21,0.28%,8%,82.0, Special Spiced Chai ,11,Low_Fat,Malai Milk,0.101,0.9497,382,50.4,45,27.598, Medium ,1.362
1148,30%,30%,0.01204,25.1763,49.0,Brand 30,38.4%,7%,240.0, Masala Chai ,11,Low_Fat,Malai Milk,0.101,4.5583,289,40.3,144,19.456, Medium ,16.9853
1149,39%,22%,0.10929,23.6641,28.0,Brand 13,0.11%,5%,140.0, South Indian Filter Coffee ,10,Vitamin_Rich,Badam Milk,0.101,1.016,290,28.3,137,14.7872, Medium ,72.2935
1150,51%,31%,0.02903,22.0617,19.0,Brand 16,0.24%,5%,53.0, South Indian Filter Coffee ,10,Vitamin_Rich,Badam Milk,0.101,0.6119,203,34.2,149,8.6746, Medium ,8.7293
1151,38%,28%,0.10564,26.7241,56.0,Brand 25,0.81%,10%,192.0, Lassi Blends ,10,Low_Fat,Elaichi Doodh,0.101,0.6275,454,28.5,36,30.1058, Medium ,72.6896
1152,42%,54%,0.08627,36.9286,39.0,Brand 6,41.35%,9%,141.0, South Indian Filter Coffee ,51,Vitamin_Rich,Malai Milk,5.195,3.2008,441,55.4,264,28.2965, Medium ,259.5502
1153,51%,45%,0.08861,34.6544,46.0,Brand 10,20.41%,8%,116.0, Cold Coffee ,15,Vitamin_Rich,Badam Milk,0.101,1.2397,460,83.0,226,17.3908, Medium ,23.9127
1154,59%,43%,0.01845,26.6947,12.0,Brand 6,0.11%,12%,61.0, Masala Chai ,17,Low_Fat,Small Glass,0.101,2.7664,306,84.6,133,12.9639, Medium ,1.8192
1155,125%,44%,0.10089,26.4995,42.0,Brand 10,0.11%,11%,42.0, South Indian Filter Coffee ,44,Vitamin_Rich,Malai Milk,0.101,3.31,275,119.9,163,23.7831, Medium ,10.3365
1156,82%,27%,0.01992,32.9844,50.0,Brand 4,26.49%,7%,119.0, Cold Coffee ,13,Vitamin_Rich,Badam Milk,0.101,1.7831,54,33.2,20,26.8084, Medium ,15.4705
1157,41%,28%,0.02241,28.4615,55.0,Brand 32,18.17%,10%,58.0, Masala Chai ,11,Low_Fat,Large Kulhad,2.456,0.93,894,24.5,20,19.7757, Medium ,3.4796
1158,53%,3%,0.01504,28.8632,8.0,Brand 28,0.11%,5%,137.0, Special Spiced Chai ,13,Low_Fat,Extra Large Kulhad,0.101,0.0,134,6.1,239,8.5954, Medium ,0.0
1159,50%,30%,0.03781,23.4482,26.0,Brand 19,0.11%,8%,207.0, South Indian Filter Coffee ,17,Low_Fat,Badam Milk,1.338,0.881,227,36.6,144,9.0055, Medium ,11.4544
1160,54%,0%,0.02395,11.0753,11.0,Brand 18,0.38%,10%,29.0, South Indian Filter Coffee ,11,Low_Fat,Rose Milk,0.101,0.0,132,9.3,259,3.3381, Medium ,0.0
1161,70%,39%,0.15236,28.4493,45.0,Brand 30,43.91%,8%,200.0, Masala Chai ,40,Vitamin_Rich,Badam Milk,2.125,2.7595,288,53.3,147,22.5579, Medium ,45.2097
1162,60%,29%,0.08533,24.8197,72.0,Brand 28,19.41%,8%,100.0, Masala Chai ,11,Vitamin_Rich,Badam Milk,0.676,4.0895,156,37.3,24,22.2548, Medium ,71.0109
1163,41%,0%,0.03418,20.9304,21.0,Brand 19,0.79%,7%,55.0, Masala Chai ,10,Low_Fat,Badam Milk,0.101,1.2314,50,15.8,216,11.4906, Medium ,3.5059
1164,10%,28%,0.01101,23.8678,15.0,Brand 11,0.11%,6%,38.0, South Indian Filter Coffee ,17,Low_Fat,Elaichi Doodh,0.101,0.0235,416,29.8,254,5.5658, Medium ,0.0
1165,90%,32%,0.02037,17.2044,0.0,Brand 32,0.11%,8%,128.0, South Indian Filter Coffee ,24,Vitamin_Rich,Malai Milk,0.101,5.4742,310,32.9,276,4.3558, Medium ,50.5361
1166,61%,33%,0.01101,19.1955,26.0,Brand 9,23.32%,5%,149.0, Masala Chai ,10,Vitamin_Rich,Rose Milk,0.101,0.7267,242,27.6,115,20.326, Medium ,0.0
1167,41%,13%,0.01101,10.143,0.0,Brand 2,0.11%,8%,2.0, South Indian Filter Coffee ,12,Low_Fat,Extra Large Kulhad,3.494,0.0,0,3.0,227,3.3381, Medium ,3.4739
1168,28%,26%,0.01377,30.9321,69.0,Brand 29,0.11%,7%,137.0, Light Buttermilk (Chaas) ,11,Low_Fat,Full Cream Buffalo Milk,3.189,1.0259,345,28.7,235,27.3338, Medium ,0.0
1169,87%,30%,0.08574,32.8385,63.0,Brand 32,0.11%,57%,98.0, Special Spiced Chai ,10,Low_Fat,Malai Milk,0.101,1.4637,480,65.5,52,28.5869, Medium ,12.1643
1170,108%,49%,0.16555,28.7843,30.0,Brand 10,37.66%,8%,90.0, South Indian Filter Coffee ,18,Vitamin_Rich,Elaichi Doodh,1.579,4.2919,455,50.2,213,16.5163, Medium ,34.6814
1171,79%,47%,0.02089,20.5286,30.0,Brand 17,0.11%,8%,178.0, Special Spiced Chai ,16,Vitamin_Rich,Malai Milk,0.101,1.8306,469,36.9,133,12.9719, Medium ,23.2793
1172,41%,40%,0.03252,20.7129,30.0,Brand 4,0.11%,6%,57.0, Special Spiced Chai ,10,Vitamin_Rich,Malai Milk,0.101,0.7911,199,23.8,140,10.5967, Medium ,7.4413
1173,55%,30%,0.08989,30.3531,62.0,Brand 25,1.33%,5%,132.0, Lassi Blends ,10,Vitamin_Rich,Badam Milk,0.101,3.228,341,41.8,35,17.5758, Medium ,77.3364
1174,51%,29%,0.01806,27.6945,,Brand 27,1.25%,10%,81.0, Light Buttermilk (Chaas) ,12,Low_Fat,Large Kulhad,0.101,0.9924,77,22.9,32,28.1155, Medium ,0.581
1175,83%,5%,0.02743,13.0848,46.0,Brand 33,0.11%,5%,66.0, Nimbu Pani & Shikanji ,11,Low_Fat,Saffron-Infused Milk,2.186,0.1914,142,3.0,46,18.843, Medium ,9.554
1176,62%,29%,0.09947,30.9251,44.0,Brand 9,14.79%,13%,208.0, South Indian Filter Coffee ,26,Vitamin_Rich,Malai Milk,0.101,3.792,476,58.8,149,34.298, Medium ,195.3881
1177,48%,48%,0.03019,27.1044,,Brand 2,0.58%,5%,170.0, Special Spiced Chai ,11,Vitamin_Rich,Badam Milk,0.101,0.5916,220,41.3,256,9.8424, Medium ,36.8807
1178,24%,0%,0.01746,2.7275,0.0,Brand 16,0.11%,14%,2.0, Masala Chai ,10,Low_Fat,Large Kulhad,1.363,0.153,137,18.0,151,3.3381, Medium ,3.7733
1179,36%,32%,0.01129,34.4136,76.0,Brand 14,0.11%,84%,211.0, Lassi Blends ,17,Low_Fat,Full Cream Buffalo Milk,0.101,1.3608,479,15.8,129,24.6859, Medium ,7.8106
1180,33%,30%,0.08214,28.825,91.0,Brand 31,41.59%,55%,145.0, Lassi Blends ,26,Vitamin_Rich,Kesar Doodh,8.414,3.0735,365,77.3,56,34.7408, High ,29.0549
1181,19%,32%,0.02235,34.1458,61.0,Brand 9,23.74%,5%,173.0, Special Spiced Chai ,11,Low_Fat,Badam Milk,0.101,0.2722,292,97.7,46,22.7669, Low ,40.1133
1182,55%,2%,0.03839,15.3916,32.0,Brand 4,20.09%,8%,115.0, Special Spiced Chai ,11,Vitamin_Rich,Saffron-Infused Milk,0.101,1.2144,59,55.1,202,17.2703, Medium ,16.3925
1183,118%,32%,0.08724,34.6248,50.0,Brand 17,27.39%,10%,81.0, South Indian Filter Coffee ,10,Vitamin_Rich,Extra Large Kulhad,1.456,1.0418,344,24.2,20,33.9736, Medium ,215.2432
1184,76%,51%,0.07968,34.5598,40.0,Brand 26,31.01%,9%,53.0, South Indian Filter Coffee ,35,Vitamin_Rich,Badam Milk,253.153,1.275,657,73.1,32,27.1403, High ,38.5139
1185,61%,32%,0.06647,28.5334,35.0,Brand 32,26.69%,62%,66.0, Lassi Blends ,32,Vitamin_Rich,Badam Milk,280.7,3.2313,473,78.8,51,19.9719, High ,84.0789
1186,42%,27%,0.01654,30.1071,24.0,Brand 24,21.72%,9%,26.0, Masala Chai ,11,Vitamin_Rich,Full Cream Buffalo Milk,2.077,0.5479,143,33.4,64,18.9098, Medium ,8.852
1187,56%,36%,0.0913,33.4196,38.0,Brand 2,40.79%,12%,71.0, Mango Shake ,31,Vitamin_Rich,Malai Milk,3.014,3.3259,826,53.1,221,15.7609, Medium ,41.1503
1188,59%,33%,0.02328,23.5219,21.0,Brand 32,19.64%,14%,57.0, Lassi Blends ,11,Low_Fat,Elaichi Doodh,0.101,0.6313,886,8.1,42,18.5102, Medium ,0.3491
1189,55%,34%,0.09863,29.2762,61.0,Brand 27,35.15%,11%,63.0, Cold Coffee ,10,Vitamin_Rich,Badam Milk,3.453,1.1687,390,29.9,141,26.4328, Medium ,17.7727
1190,115%,31%,0.24498,28.8455,41.0,Brand 9,0.11%,8%,24.0, Masala Chai ,45,Vitamin_Rich,Badam Milk,0.101,3.083,666,64.2,247,25.5854, Medium ,109.5555
1191,42%,29%,0.02492,27.985,68.0,Brand 14,21.21%,12%,89.0, Cold Coffee ,25,Low_Fat,Elaichi Doodh,3.65,1.1469,846,5.4,221,14.4154, Medium ,3.6094
1192,62%,54%,0.0948,32.2675,69.0,Brand 9,17.42%,89%,87.0, Kadak Chai ,26,Low_Fat,Saffron-Infused Milk,0.101,0.318,493,44.9,193,33.3958, Medium ,25.2507
1193,47%,0%,0.01689,4.7254,4.0,Brand 17,0.11%,7%,47.0, South Indian Filter Coffee ,11,Low_Fat,Extra Large Kulhad,0.101,0.6676,215,4.5,252,3.3381, Medium ,0.372
1194,72%,44%,0.02461,33.7533,34.0,Brand 10,0.11%,7%,36.0, Special Spiced Chai ,10,Low_Fat,Elaichi Doodh,0.101,0.9049,581,40.6,124,30.5302, Medium ,12.038
1195,14%,25%,0.04126,18.4902,54.0,Brand 18,0.11%,57%,199.0, Special Spiced Chai ,10,Low_Fat,Elaichi Doodh,0.101,0.3151,337,73.6,32,20.0022, Medium ,5.1473
1196,40%,33%,0.10306,27.1848,18.0,Brand 25,0.11%,39%,178.0, Masala Chai ,10,Low_Fat,Saffron-Infused Milk,0.101,0.9763,245,27.7,243,27.291, Medium ,12.3471
1197,39%,3%,0.02514,7.4361,7.0,Brand 32,0.11%,10%,2.0, South Indian Filter Coffee ,10,Low_Fat,Small Glass,0.101,0.0,191,3.0,249,3.3381, Medium ,14.838
1198,69%,32%,0.07468,32.8259,92.0,Brand 28,0.11%,10%,164.0, Masala Chai ,18,Vitamin_Rich,Badam Milk,0.101,4.2714,557,116.7,239,23.1388, Medium ,60.4148
1199,60%,33%,0.02743,35.3365,47.0,Brand 11,34.01%,67%,184.0, Kadak Chai ,16,Vitamin_Rich,Saffron-Infused Milk,5.723,2.7272,551,82.1,38,34.6091, High ,13.2293
1200,25%,1%,0.02388,25.0201,34.0,Brand 9,0.11%,9%,35.0, Light Buttermilk (Chaas) ,10,Low_Fat,Rose Milk,0.101,0.9231,247,8.1,161,18.9008, Medium ,6.3601
1201,12%,0%,0.02194,4.8158,21.0,Brand 21,0.11%,13%,55.0, Masala Chai ,10,Low_Fat,Full Cream Buffalo Milk,0.101,0.0,0,3.0,404,3.3381, Medium ,10.9411
1202,111%,48%,0.01729,20.589,5.0,Brand 10,0.11%,13%,53.0, South Indian Filter Coffee ,16,Vitamin_Rich,Malai Milk,1.846,1.9661,563,92.7,145,14.5048, Medium ,2.8618
1203,33%,1%,0.02316,28.6109,14.0,Brand 10,0.11%,7%,2.0, South Indian Filter Coffee ,10,Low_Fat,Rose Milk,0.101,0.6347,129,17.8,258,18.0845, Medium ,5.0198
1204,10%,3%,0.01935,3.2072,27.0,Brand 1,0.11%,51%,33.0, Light Buttermilk (Chaas) ,11,Low_Fat,Medium Glass,1.714,0.2276,0,14.8,62,6.4266, Medium ,1.9061
1205,69%,39%,0.01431,37.5825,72.0,Brand 25,44.95%,58%,141.0, Mango Shake ,10,Low_Fat,Kesar Doodh,1.695,0.378,241,117.3,32,34.4118, High ,11.5268
1206,138%,28%,0.01522,26.8521,49.0,Brand 27,14.19%,5%,52.0, Light Buttermilk (Chaas) ,10,Vitamin_Rich,Saffron-Infused Milk,0.101,0.8967,151,49.1,126,33.2223, Medium ,53.9502
1207,55%,45%,0.09222,33.0324,33.0,Brand 32,28.21%,6%,171.0, Special Spiced Chai ,25,Vitamin_Rich,Malai Milk,0.604,3.1871,327,66.2,276,11.5301, Medium ,46.3236
1208,90%,2%,0.02921,21.8561,54.0,Brand 21,0.11%,46%,8.0, Masala Chai ,11,Low_Fat,Kesar Doodh,0.101,0.2362,115,8.3,60,3.3381, Medium ,4.6872
1209,36%,29%,0.06785,34.6255,65.0,Brand 28,38.03%,7%,217.0, Special Spiced Chai ,28,Vitamin_Rich,Malai Milk,0.101,3.8981,527,48.5,51,40.309, Medium ,45.4208
1210,25%,0%,0.03163,28.2686,31.0,Brand 11,0.11%,10%,153.0, Special Spiced Chai ,11,Low_Fat,Badam Milk,0.101,0.6803,112,9.0,135,13.7215, Medium ,5.3242
1211,29%,32%,0.09242,29.109,83.0,Brand 32,41.0%,71%,142.0, South Indian Filter Coffee ,39,Vitamin_Rich,Malai Milk,273.235,3.2042,431,71.3,151,33.2056, High ,71.3883
1212,70%,35%,0.09538,29.671,62.0,Brand 10,43.61%,10%,174.0, South Indian Filter Coffee ,17,Vitamin_Rich,Malai Milk,3.549,4.2199,408,36.1,227,22.4672, Medium ,5.4699
1213,10%,0%,0.01971,0.0,0.0,Brand 21,0.11%,15%,2.0, South Indian Filter Coffee ,11,Low_Fat,Extra Large Kulhad,0.101,0.5031,185,3.0,276,3.3381, Medium ,2.8311
1214,59%,21%,0.03153,26.2546,34.0,Brand 1,0.11%,11%,77.0, Kadak Chai ,17,Low_Fat,Saffron-Infused Milk,0.101,1.1045,193,30.5,257,13.3178, Medium ,9.635
1215,57%,30%,0.10619,26.1279,56.0,Brand 9,44.62%,7%,85.0, Cold Coffee ,29,Vitamin_Rich,Elaichi Doodh,0.101,4.0585,871,48.9,115,22.1542, Medium ,68.6542
1216,19%,2%,0.03641,0.0,16.0,Brand 19,1.0%,10%,37.0, Special Spiced Chai ,13,Low_Fat,Large Kulhad,0.101,0.8662,0,26.7,551,3.3381, Medium ,0.0
1217,87%,28%,0.01491,31.6146,65.0,Brand 17,20.94%,76%,164.0, Lassi Blends ,16,Low_Fat,Full Cream Buffalo Milk,0.101,1.0261,1030,82.2,43,31.6101, Medium ,1.6198
1218,64%,51%,0.04017,26.6288,23.0,Brand 4,0.11%,12%,129.0, South Indian Filter Coffee ,11,Low_Fat,Malai Milk,0.101,0.8637,258,57.6,151,23.3926, Medium ,12.4713
1219,69%,51%,0.08822,31.9745,40.0,Brand 29,0.11%,9%,93.0, South Indian Filter Coffee ,26,Vitamin_Rich,Malai Milk,0.101,3.476,841,105.3,227,31.1759, Medium ,100.5403
1220,27%,29%,0.01807,31.1996,73.0,Brand 25,0.11%,50%,183.0, Lassi Blends ,10,Vitamin_Rich,Kesar Doodh,0.101,0.5033,433,25.3,174,33.3536, Medium ,10.7287
1221,19%,0%,0.03073,6.0649,13.0,Brand 20,0.55%,8%,2.0, Masala Chai ,11,Low_Fat,Elaichi Doodh,1.889,0.2114,0,18.8,157,6.962, Medium ,0.8283
1222,30%,27%,0.02235,27.9054,20.0,Brand 5,17.03%,33%,137.0, Lassi Blends ,10,Low_Fat,Badam Milk,1.479,0.6095,414,84.2,33,9.1928, Medium ,0.0
1223,65%,4%,0.0372,27.8662,21.0,Brand 15,0.11%,9%,55.0, South Indian Filter Coffee ,10,Low_Fat,Kesar Doodh,1.914,0.697,63,35.0,266,16.9323, Medium ,0.0
1224,10%,4%,0.01101,16.1342,0.0,Brand 20,1.94%,13%,2.0, Masala Chai ,11,Low_Fat,Small Glass,4.819,0.0,0,3.0,252,4.4913, Low ,0.0
1225,42%,36%,0.01101,28.6643,67.0,Brand 26,1.74%,5%,66.0, Lassi Blends ,16,Vitamin_Rich,Malai Milk,1.595,2.8996,248,7.8,20,29.2887, Medium ,32.97069360721443
1226,35%,42%,0.09875,17.593,8.0,Brand 9,20.89%,9%,156.0, Special Spiced Chai ,10,Vitamin_Rich,Badam Milk,0.101,0.4823,282,20.5,151,18.432, Medium ,48.139
1227,112%,33%,0.1112,17.7694,23.0,Brand 16,0.88%,5%,42.0, Special Spiced Chai ,27,Vitamin_Rich,Malai Milk,0.39,1.3559,207,32.0,158,8.0763, Medium ,80.7393
1228,10%,5%,0.01695,17.6391,0.0,Brand 13,0.11%,15%,2.0, Special Spiced Chai ,11,High_Protein,Malai Milk,0.87,0.7736,0,4.8,138,3.3381, Medium ,17.7795
1229,87%,55%,0.17212,30.8481,44.0,Brand 22,26.47%,7%,101.0, South Indian Filter Coffee ,47,Vitamin_Rich,Malai Milk,4.245,4.669,328,63.8,222,38.9864, Medium ,248.3469
1230,62%,30%,0.09234,29.056,78.0,Brand 3,37.53%,9%,133.0, Cold Coffee ,25,Vitamin_Rich,Full Cream Buffalo Milk,2.662,4.3917,563,12.0,154,20.2234, Medium ,75.1363
1231,46%,29%,0.03461,24.1435,65.0,Brand 14,0.11%,6%,27.0, South Indian Filter Coffee ,11,Vitamin_Rich,Rose Milk,0.101,0.4373,129,28.5,40,28.2776, Medium ,6.3257
1232,16%,0%,0.03541,3.8865,19.0,Brand 19,0.11%,10%,36.0, Nimbu Pani & Shikanji ,11,Low_Fat,Full Cream Buffalo Milk,4.393,0.6352,86,14.9,253,13.9185, Medium ,0.0
1233,26%,4%,0.01175,26.8796,6.0,Brand 19,0.11%,14%,180.0, Light Buttermilk (Chaas) ,17,Low_Fat,Rose Milk,3.114,1.0463,502,29.3,138,9.5512, Medium ,0.0
1234,53%,31%,0.02275,19.8332,33.0,Brand 27,0.11%,9%,30.0, South Indian Filter Coffee ,10,Vitamin_Rich,Badam Milk,0.101,1.5085,276,46.0,142,14.1707, Medium ,9.7678
1235,38%,34%,0.09943,34.9703,74.0,Brand 10,18.75%,10%,62.0, Cold Coffee ,27,Vitamin_Rich,Malai Milk,0.101,3.8803,1040,37.9,213,39.0126, Medium ,15.5784
1236,10%,0%,0.03733,28.937,21.0,Brand 6,0.11%,9%,66.0, Light Buttermilk (Chaas) ,10,Low_Fat,Medium Glass,0.101,0.8659,136,9.6,229,27.749, Medium ,0.0
1237,51%,37%,0.14133,25.6457,57.0,Brand 11,28.68%,15%,73.0, Lassi Blends ,11,Vitamin_Rich,Malai Milk,1.819,1.4268,621,61.6,20,26.5847, Medium ,54.8213
1238,106%,36%,0.10111,28.3974,41.0,Brand 6,9.75%,8%,79.0, South Indian Filter Coffee ,46,Vitamin_Rich,Malai Milk,0.101,3.4255,599,64.6,195,26.4312, Medium ,56.9592
1239,95%,54%,0.09936,28.5809,42.0,Brand 32,0.11%,10%,90.0, Cold Coffee ,27,Vitamin_Rich,Malai Milk,0.904,4.4353,574,37.3,138,20.6284, Medium ,209.8223
1240,64%,28%,0.02111,24.9308,14.0,Brand 17,42.34%,7%,25.0, South Indian Filter Coffee ,11,Vitamin_Rich,Badam Milk,0.101,3.7695,292,37.3,249,11.8295, Medium ,49.5227
1241,29%,10%,0.02002,25.6682,26.0,Brand 27,0.11%,5%,12.0, Special Spiced Chai ,10,Low_Fat,Medium Glass,0.101,0.0167,174,24.3,135,6.5682, Medium ,10.4306
1242,120%,58%,0.07786,28.3217,57.0,Brand 15,1.2%,12%,186.0, Masala Chai ,44,Vitamin_Rich,Malai Milk,0.101,3.8523,598,78.9,143,18.2245, Medium ,116.8395
1243,35%,5%,0.02224,24.3845,3.0,Brand 15,0.11%,11%,6.0, Masala Chai ,11,Low_Fat,Elaichi Doodh,0.101,0.9141,224,16.7,20,13.9256, Medium ,5.7715
1244,32%,3%,0.02877,11.8596,22.0,Brand 7,0.85%,5%,31.0, South Indian Filter Coffee ,10,Low_Fat,Extra Large Kulhad,0.101,0.1496,102,69.0,393,8.0144, Medium ,9.3485
1245,49%,47%,0.03912,18.0829,10.0,Brand 6,0.11%,8%,106.0, South Indian Filter Coffee ,14,Low_Fat,Elaichi Doodh,1.36,0.5514,316,22.8,232,8.7465, Medium ,4.7527
1246,10%,0%,0.01773,11.415,0.0,Brand 1,0.56%,14%,2.0, Nimbu Pani & Shikanji ,12,Low_Fat,Large Kulhad,0.805,0.0,0,3.0,635,3.3381, Low ,0.0
1247,86%,41%,0.19459,25.2816,22.0,Brand 3,0.11%,10%,64.0, South Indian Filter Coffee ,16,Vitamin_Rich,Malai Milk,0.101,0.2868,509,123.4,141,9.2433, Medium ,9.8536
1248,31%,31%,0.01101,30.7548,58.0,Brand 32,0.11%,47%,58.0, Lassi Blends ,16,High_Protein,Elaichi Doodh,0.101,0.8098,207,14.2,20,23.7042, Medium ,6.1035
1249,31%,3%,0.02993,32.3996,19.0,Brand 31,0.11%,7%,101.0, Special Spiced Chai ,11,Low_Fat,Large Kulhad,0.101,0.3961,61,23.5,40,16.7396, Low ,10.3478
1250,92%,29%,0.17664,22.071,16.0,Brand 6,0.11%,9%,129.0, Masala Chai ,11,Vitamin_Rich,Malai Milk,0.101,1.4064,414,52.4,249,28.6547, Medium ,60.5516
1251,63%,28%,0.09084,32.9063,62.0,Brand 32,0.11%,7%,63.0, Masala Chai ,10,Vitamin_Rich,Malai Milk,1.614,1.305,59,39.3,57,21.1058, Medium ,8.1162
1252,23%,30%,0.01221,32.8378,,Brand 18,0.48%,7%,41.0, South Indian Filter Coffee ,11,Low_Fat,Medium Glass,5.481,0.7807,452,93.3,224,12.5264, Medium ,35.1642
1253,60%,30%,0.01101,36.3287,77.0,Brand 3,45.09%,12%,102.0, Cold Coffee ,11,Low_Fat,Badam Milk,0.101,0.3639,343,13.6,20,12.0842, Medium ,10.7143
1254,40%,51%,0.02359,22.4343,13.0,Brand 19,0.11%,8%,44.0, Masala Chai ,43,Vitamin_Rich,Malai Milk,0.101,3.1846,209,50.0,128,11.8768, Medium ,13.7239
1255,52%,28%,0.14455,28.2288,40.0,Brand 17,0.61%,15%,132.0, South Indian Filter Coffee ,10,Low_Fat,Kesar Doodh,2.013,0.2053,171,78.8,268,23.8064, Medium ,7.1391
1256,19%,3%,0.0279,8.6724,39.0,Brand 2,0.11%,7%,49.0, Cold Coffee ,11,Low_Fat,Large Kulhad,0.101,0.2818,119,10.2,480,17.9295, Medium ,4.97
1257,104%,37%,0.08384,26.325,15.0,Brand 3,0.11%,8%,138.0, South Indian Filter Coffee ,39,Vitamin_Rich,Malai Milk,3.09,3.0028,483,45.2,150,13.8168, Medium ,73.5989
1258,13%,2%,0.03385,27.0814,27.0,Brand 19,0.11%,6%,2.0, Nimbu Pani & Shikanji ,11,Low_Fat,Saffron-Infused Milk,0.101,0.6276,75,13.6,247,14.9337, Medium ,0.0
1259,56%,2%,0.02761,23.1047,16.0,Brand 32,0.11%,5%,49.0, Masala Chai ,10,Vitamin_Rich,Badam Milk,0.101,0.8789,0,10.5,68,12.5503, Medium ,23.335
1260,126%,39%,0.02212,30.2135,46.0,Brand 16,18.36%,7%,99.0, South Indian Filter Coffee ,26,Vitamin_Rich,Malai Milk,1.856,1.3777,565,104.2,252,22.5717, Medium ,78.2323
1261,44%,2%,0.03733,19.5292,13.0,Brand 19,0.11%,6%,27.0, South Indian Filter Coffee ,10,Low_Fat,Elaichi Doodh,0.101,0.4232,154,53.8,140,9.2391, Medium ,6.6423
1262,41%,43%,0.01897,24.7428,57.0,Brand 29,12.16%,8%,211.0, Special Spiced Chai ,17,Low_Fat,Badam Milk,0.101,0.6013,265,29.0,125,10.8983, Medium ,0.0
1263,15%,22%,0.02164,31.6834,43.0,Brand 17,0.11%,5%,105.0, Cold Coffee ,11,Low_Fat,Saffron-Infused Milk,0.101,0.0,564,36.6,37,33.4315, Medium ,8.6549
1264,17%,26%,0.02477,28.8646,56.0,Brand 12,0.11%,9%,103.0, Cold Coffee ,10,Low_Fat,Saffron-Infused Milk,0.101,0.5535,985,16.2,211,30.7466, Medium ,0.0
1265,18%,3%,0.02049,0.0149,25.0,Brand 19,0.11%,6%,88.0, Nimbu Pani & Shikanji ,12,Low_Fat,Elaichi Doodh,0.101,0.0,196,4.7,247,10.6077, Medium ,0.0
1266,111%,33%,0.10651,26.8314,48.0,Brand 26,0.11%,8%,130.0, Cold Coffee ,27,Vitamin_Rich,Malai Milk,0.101,3.866,777,48.6,181,23.4457, Medium ,31.6676
1267,51%,0%,0.03077,26.3222,22.0,Brand 13,0.11%,10%,112.0, South Indian Filter Coffee ,11,Low_Fat,Badam Milk,0.101,0.2971,257,46.7,33,9.8732, Medium ,2.471
1268,88%,0%,0.02572,26.3103,12.0,Brand 7,0.11%,7%,85.0, South Indian Filter Coffee ,11,Low_Fat,Extra Large Kulhad,0.101,0.7668,339,75.5,242,4.6506, Medium ,4.3834
1269,10%,14%,0.01647,10.1078,22.0,Brand 21,0.11%,8%,88.0, Nimbu Pani & Shikanji ,17,Low_Fat,Extra Large Kulhad,0.101,0.6661,104,20.6,262,9.9674, Medium ,0.0
1270,10%,57%,0.08364,30.4531,82.0,Brand 15,15.78%,9%,178.0, Masala Chai ,29,Vitamin_Rich,Malai Milk,283.68,3.4352,509,74.6,54,26.94, Medium ,56.849
